Ceramic Name,Part,Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,Fe2O3,MnO,CuO,ZnO,PbO2,Rb2O,SrO,Y2O3,ZrO2,P2O5
FLQ-1-b,Body,0.62 ,0.38 ,19.61 ,71.99 ,4.84 ,0.31 ,0.07 ,1.18 ,630,10,70,10,430,0,40,80,90
FLQ-2-b,Body,0.57 ,0.47 ,21.19 ,70.09 ,4.98 ,0.49 ,0.09 ,1.12 ,380,20,80,40,430,-10,40,100,110
FLQ-3-b,Body,0.49 ,0.19 ,18.60 ,74.70 ,3.47 ,0.43 ,0.06 ,1.07 ,420,20,50,50,380,40,40,80,200
FLQ-4-b,Body,0.89 ,0.30 ,18.01 ,74.19 ,4.01 ,0.27 ,0.09 ,1.23 ,460,20,70,60,380,10,40,70,210
FLQ-5-b,Body,0.03 ,0.36 ,18.41 ,73.99 ,4.33 ,0.65 ,0.05 ,1.19 ,380,40,90,40,360,10,30,80,150
FLQ-6-b,Body,0.62 ,0.18 ,18.82 ,73.79 ,4.28 ,0.30 ,0.04 ,0.96 ,350,20,80,10,390,10,40,80,130
FLQ-7-b,Body,0.45 ,0.33 ,17.65 ,74.99 ,3.53 ,0.70 ,0.07 ,1.28 ,650,20,90,90,410,30,30,90,140
FLQ-8-b,Body,0.59 ,0.45 ,21.42 ,71.46 ,3.47 ,0.35 ,0.05 ,1.20 ,500,10,70,50,380,70,40,80,440
FLQ-9-b,Body,0.42 ,0.53 ,23.12 ,67.41 ,3.81 ,0.74 ,0.16 ,2.81 ,340,40,120,30,370,20,30,150,180
FLQ-10-b,Body,0.56 ,0.49 ,19.86 ,72.00 ,4.51 ,0.25 ,0.23 ,1.10 ,330,20,70,20,350,10,40,130,150
FLQ-11-b,Body,0.35 ,0.23 ,19.53 ,72.87 ,4.62 ,0.28 ,0.07 ,1.05 ,320,70,40,20,450,10,40,120,140
FLQ-12-b,Body,0.43 ,0.70 ,19.35 ,71.21 ,4.77 ,1.26 ,0.04 ,1.23 ,420,0,90,30,430,10,40,80,100
FLQ-13-b,Body,0.76 ,0.44 ,19.45 ,72.52 ,3.94 ,0.58 ,0.07 ,1.24 ,420,50,100,10,390,30,30,80,150
DY-BS-1-b,Body,0.03 ,0.26 ,18.34 ,73.26 ,5.11 ,0.14 ,0.12 ,1.74 ,480,0,100,90,370,20,50,200,80
DY-BS-2-b,Body,0.71 ,0.31 ,24.47 ,65.20 ,6.16 ,0.17 ,0.09 ,1.89 ,430,40,110,20,360,10,50,200,60
DY-BS-3-b,Body,0.25 ,0.24 ,23.07 ,67.37 ,5.80 ,0.18 ,0.14 ,1.94 ,280,0,70,60,370,10,50,200,90
DY-BS-4-b,Body,0.43 ,0.47 ,20.67 ,70.07 ,5.27 ,0.13 ,0.20 ,1.77 ,300,10,80,40,350,40,60,180,110
DY-BS-5-b,Body,0.28 ,0.22 ,20.89 ,70.77 ,4.79 ,0.15 ,0.13 ,1.77 ,230,60,90,60,290,0,60,190,60
DY-BS-6-b,Body,0.25 ,0.49 ,20.79 ,69.92 ,5.37 ,0.18 ,0.15 ,1.86 ,470,30,120,80,370,10,50,180,60
DY-BS-7-b,Body,0.16 ,0.34 ,23.77 ,66.31 ,6.05 ,0.16 ,0.16 ,2.05 ,280,40,80,80,400,20,50,230,70
DY-NS-1-b,Body,0.03 ,0.36 ,25.13 ,64.58 ,6.56 ,0.17 ,0.07 ,2.11 ,400,20,90,40,380,10,70,170,110
DY-NS-2-b,Body,0.24 ,0.55 ,22.81 ,66.31 ,5.59 ,0.20 ,0.18 ,3.11 ,350,20,110,70,330,30,50,220,90
DY-NS-3-b,Body,0.29 ,0.33 ,23.49 ,67.94 ,4.46 ,0.17 ,0.16 ,2.15 ,310,0,80,20,230,20,30,210,170
DY-NS-4-b,Body,0.45 ,0.46 ,25.80 ,64.42 ,4.57 ,0.15 ,0.19 ,2.97 ,240,60,110,40,270,0,50,260,120
DY-NS-5-b,Body,0.29 ,0.23 ,22.26 ,68.93 ,4.19 ,0.12 ,0.29 ,2.68 ,250,50,120,60,270,20,40,310,70
DY-NS-6-b,Body,0.41 ,0.25 ,19.48 ,71.97 ,5.03 ,0.28 ,0.04 ,1.53 ,490,80,110,60,320,10,60,160,200
DY-NS-7-b,Body,0.34 ,0.47 ,22.48 ,67.80 ,5.45 ,0.49 ,0.14 ,1.83 ,310,10,120,40,320,10,60,170,120
DY-NS-8-b,Body,0.71 ,0.25 ,19.49 ,70.85 ,5.43 ,0.27 ,0.14 ,1.88 ,370,30,110,70,330,30,60,190,70
DY-Y-1-b,Body,0.30 ,0.37 ,25.00 ,65.09 ,6.17 ,0.18 ,0.07 ,1.83 ,360,30,80,100,370,10,60,160,110
DY-Y-2-b,Body,0.50 ,0.32 ,25.15 ,65.37 ,5.34 ,0.12 ,0.10 ,2.10 ,400,30,90,10,380,0,70,190,50
DY-Y-3-b,Body,0.31 ,0.41 ,22.77 ,67.75 ,4.50 ,0.18 ,0.24 ,2.85 ,350,10,100,0,310,30,60,250,90
